nom,prenom,age,poids,ville_naissance,date_naissance,taille,imc,pays_naissance
Durand,Marie,23,99.5,Lisbonne,2002-05-16,1.96,25.9,Portugal
Lefevre,Marie,65,43.1,Berlin,1960-03-31,1.74,14.24,Allemagne
Bernard,Paul,33,74.1,Londres,1992-05-06,1.52,32.07,Royaume-Uni
Dupont,Sophie,40,46.7,Lisbonne,1985-01-09,1.52,20.21,Portugal
Moreau,Jean,47,49.6,Londres,1978-11-22,1.97,12.78,Royaume-Uni
Fournier,Pierre,39,41.6,Paris,1986-08-08,1.51,18.24,France
Moreau,Pierre,44,110.0,Moscou,1981-08-20,1.86,31.8,Russie
Moreau,Claire,45,103.3,Tokyo,1980-10-03,1.98,26.35,Japon
Dupont,Luc,56,45.5,Sydney,1969-08-19,1.73,15.2,Australie
Martin,Luc,70,57.3,Sydney,1955-04-25,1.92,15.54,Australie
Martin,Luc,43,91.6,New York,1982-12-06,1.8,28.27,États-Unis
Dupont,Jean,48,69.2,Tokyo,1977-02-07,1.94,18.39,Japon
Lefevre,Marie,44,101.1,Moscou,1981-06-06,1.65,37.13,Russie
Dupont,Sophie,64,43.1,Sydney,1961-11-04,1.56,17.71,Australie
Moreau,Claire,51,42.7,Sydney,1974-11-12,1.57,17.32,Australie
Moreau,Marie,29,43.7,Berlin,1996-11-22,1.72,14.77,Allemagne
Girard,Luc,34,79.4,Londres,1991-10-13,1.62,30.25,Royaume-Uni
Lefevre,Jean,60,110.7,Tokyo,1965-11-20,2.0,27.68,Japon
Durand,Paul,40,115.2,Rio,1985-10-30,1.79,35.95,Brésil
Bernard,Paul,25,73.8,Rio,2000-02-15,1.74,24.38,Brésil
Martin,Julie,25,116.1,Paris,2000-03-10,1.53,49.6,France
Lefevre,Paul,37,104.8,New York,1988-03-13,1.98,26.73,États-Unis
Durand,Claire,26,103.3,Londres,1999-11-08,1.86,29.86,Royaume-Uni
Durand,Marie,43,62.9,Lisbonne,1982-10-18,1.59,24.88,Portugal
Lefevre,Julie,21,52.6,Tokyo,2004-06-09,1.97,13.55,Japon
Durand,Luc,43,98.8,Sydney,1982-10-23,1.84,29.18,Australie
Durand,Sophie,70,59.9,Lisbonne,1955-11-08,1.85,17.5,Portugal
Moreau,Luc,49,119.6,Rio,1976-01-03,1.74,39.5,Brésil
Dupont,Marie,73,66.6,Rio,1952-02-24,1.89,18.64,Brésil
Bernard,Jean,46,64.0,Moscou,1979-10-28,1.86,18.5,Russie
Bernard,Paul,66,111.2,Berlin,1959-05-05,1.91,30.48,Allemagne
Girard,Pierre,28,66.4,Londres,1997-06-11,1.91,18.2,Royaume-Uni
Fournier,Julie,77,107.8,Rio,1948-05-10,1.7,37.3,Brésil
Martin,Luc,73,58.9,Lisbonne,1952-11-07,1.83,17.59,Portugal
Dupont,Claire,55,51.6,Sydney,1970-03-26,1.52,22.33,Australie
Girard,Jean,42,91.2,Lisbonne,1983-01-20,1.9,25.26,Portugal
Girard,Pierre,30,47.8,Sydney,1995-04-10,1.52,20.69,Australie
Durand,Julie,22,49.3,Tokyo,2003-04-24,1.92,13.37,Japon
Durand,Jean,45,48.2,Londres,1980-03-10,1.7,16.68,Royaume-Uni
Martin,Jean,52,116.9,Moscou,1973-11-01,1.67,41.92,Russie
Girard,Jean,60,55.3,Moscou,1965-11-28,1.52,23.94,Russie
Martin,Marie,47,51.4,Lisbonne,1978-10-07,1.81,15.69,Portugal
Martin,Marie,59,71.1,Lisbonne,1966-08-08,1.67,25.49,Portugal
Girard,Julie,69,76.0,Londres,1956-03-05,2.0,19.0,Royaume-Uni
Bernard,Jean,58,41.0,Lisbonne,1967-08-25,1.88,11.6,Portugal
Dupont,Julie,24,51.4,New York,2001-09-04,1.93,13.8,États-Unis
Bernard,Luc,38,58.9,Rio,1987-12-30,1.8,18.18,Brésil
Girard,Julie,56,90.1,Lisbonne,1969-11-18,1.66,32.7,Portugal
Durand,Marie,57,60.0,Sydney,1968-06-24,1.69,21.01,Australie
Fournier,Julie,33,42.5,Berlin,1992-12-21,1.72,14.37,Allemagne
